id,reg,car_description,car_make_model,road_tax_status,mot_status,exported,average,engine,EngineLitres,EuroStatus,FuelType,KeeperStartDate,LastMOTMileage,LastV5CIssueDate,MOT,MileageIssues,ModelDescription,ModelVariant,PrimaryColour,RegistrationDate,RegistrationPlace,Status,Tax12MonthsCost,Tax6MonthsCost,Transmission,TypeApproval,VehicleAge,WheelPlan,YearManufacture,isSold,co2,manufacturer,mileage,sell,created_on,car_order,taxDueDate,motExpiryDate,carViews
67,KU02ERJ,,MERCEDES-BENZ SLK,✗ Expired: 21 May 2024 7 days ago,✓ Expires: 29 Mar 2025 306 days left,NO,2861,3199 cc,,EURO 3,Petrol,,62951.0,20 May 2024,£45,No,,SLK,Silver,2002.03.06,Northampton,LOW,£415,£228.25,,M1,22 Years 2 Months,2 AXLE RIGID BODY,2002,1,254 g/km (,MERCEDES-BENZ,63000,3600,2024-05-28 04:05:22,2.0,2024-05-21,2025-03-29,16
97,FR12 ZNV,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,92000,3995,2024-08-02 06:15:53,2.0,,,8
130,OY62NPA,,AUDI A4,Untaxed,Valid,,0,1968,,,DIESEL,,,2014-08-08,,,A4 SE TDI CVT,,SILVER,2012-09,,,,,,M1,,2 AXLE RIGID BODY,2012,1,127,AUDI,50000,7500,2024-10-09 05:56:12,2.0,2024-09-28,2025-01-18,11
135,CN16YPY,,VOLKSWAGEN,Untaxed,Valid,,0,2967,,,DIESEL,,,2023-11-07,,,TOUAREG V6 R-LINE TDI BMT A,,WHITE,2016-03,,,,,,M1,,2 AXLE RIGID BODY,2016,1,174,VOLKSWAGEN,127950,11300,2024-10-12 06:13:06,2.0,2024-10-05,2025-06-05,22
99,GJ13XCV,,Honda Civic,,,,0,1597cc,,,DIESEL,,,2022-02-11,,,CIVIC I-DTEC ES,,GREY,2013-05,,,,,,M1,,2 AXLE RIGID BODY,2013,1,,,95281,3995,2024-08-02 07:11:59,2.0,,,18
158,WG63KBF,,BMW,Untaxed,Valid,,0,1995,,,DIESEL,,,2018-10-09,,,116D SE,,BLACK,2013-11,,,,,,M1,,2 AXLE RIGID BODY,2013,1,109,BMW,123376,3495,2024-10-30 07:18:36,2.0,2024-09-12,2024-12-08,18
53,LM13 UYK,,SKODA YETI,✗ Expired: 28 Mar 2024 32 days ago,✓ Expires: 18 Jun 2024 51 days left,NO,11440,1598 cc,,EURO 5,Diesel,,125843.0,11 December 2013,£45,No,,YETI,Black,2013.05.25,Stanmore / London,MEDIUM,£35,,,M1,10 Years 11 Months,2 AXLE RIGID BODY,2013,1,119 g/km (,SKODA,133303,3995,2024-04-29 05:44:29,3.0,2024-03-28,2024-06-18,0
57,YD11VGK,,SUBARU LEGACY,✗ Expired: 15 Mar 2024 48 days ago,✓ Expires: 25 Mar 2025 328 days left,NO,5185,1994 cc,,EURO 5,Petrol,,67403.0,08 January 2018,£45,No,LEGACY ES NAV CVT,LEGACY,Grey,2011.03.30,Leeds,MEDIUM,£365,£200.75,,M1,13 Years 2 Months,2 AXLE RIGID BODY,2011,1,187 g/km (,SUBARU,67403,4900,2024-05-02 06:49:28,3.0,2024-03-15,2025-03-25,2
92,KX67 CTV,,Volvo V60,Untaxed,Valid,,0,1969cc,,,DIESEL,,,2017-12-20,,,V60 SE NAV D4,,WHITE,2018-01,,,,,,M1,,2 AXLE RIGID BODY,2018,1,,,94754,7700,2024-08-02 06:02:21,3.0,2024-04-23,2025-06-26,95
77,LO18OHX,,VOLKSWAGEN PASSAT,✓ Expires: 01 Jun 2025 340 days left,✓ Expires: 06 Dec 2024 164 days left,NO,15819,1598 cc,,EURO 6,Diesel,,94915.0,22 June 2018,£45,No,PASSAT SE BUSINESS TDI BMT,PASSAT,White,2018.06.22,Stanmore / London,HIGH,£190,£104.50,,M1,6 Years 0 Months,2 AXLE RIGID BODY,2018,1,105 g/km (,VOLKSWAGEN,101214,8000,2024-06-26 03:22:06,3.0,2025-06-01,2024-12-06,10
27,LS16VRC,,HONDA JAZZ,✗ Expired: 07 Dec 2023 140 days ago,✓ Expires: 08 Feb 2025 290 days left,NO,3144,1318 cc,,EURO 6,Petrol,,25148.0,29 March 2016,£45,No,JAZZ SE I-VTEC,JAZZ,Silver,2016.03.29,Stanmore / London,LOW,£35,,,M1,7 Years 10 Months,2 AXLE RIGID BODY,2016,1,116 g/km (,HONDA,29000,9200,2024-01-06 10:54:50,4.0,2023-12-07,2025-02-08,2
54,OE14 XWB,,SKODA OCTAVIA,✓ Expires: 01 Mar 2025 306 days left,✓ Expires: 26 Jan 2025 273 days left,NO,12577,1598 cc,,EURO 5,Diesel,,125773.0,04 November 2021,£45,No,,OCTAVIA,Grey,2014.07.28,Oxford,HIGH,£20,,,M1,9 Years 9 Months,2 AXLE RIGID BODY,2014,1,109 g/km (,SKODA,125773,4300,2024-04-29 05:45:58,4.0,2025-03-01,2025-01-26,7
